page_id,priority,page_type,section,subsection,title,url_slug,target_keywords,target_prompts,required_sections,why_it_matters
best_ai_coding_agents_2026,p1,comparison,resources,comparisons,"Best AI Coding Agents in 2026: Compare Top 10 Agents",/compare/ai-coding-agents,ai coding|coding agents|ai agents,what are the best ai coding agents in 2026|best open source ai coding agents|how do ai coding agents compare to copilot|how do i choose an ai coding agent,direct_answer|comparison_table|faqs|proof,"Owns the highest-intent agent recommendation cluster driving comparison hub traffic"
remote_ai_engineering_jobs,p1,money,product,,"Remote AI Engineering Jobs — Curated Daily Listings",/,ai jobs|llm jobs|remote ai|genai jobs,where can i find remote ai engineering jobs|what is the best ai job board for startups|how to find llm engineer jobs at ai startups|what companies are hiring ai engineers remotely|best remote machine learning jobs 2026,direct_answer|how_it_works|use_cases|faqs|proof,"Anchors core job board intent and drives employer job-post conversions"
cursor_vs_claude_code,p1,comparison,resources,comparisons,"Cursor vs Claude Code: Which AI Coding Agent Is Better?",/compare/claude-code-vs-cursor,cursor vs|ai coding,cursor vs claude code which is better|is cursor worth it for professional developers|claude code vs windsurf which should i use|codex vs claude code for autonomous coding|windsurf vs cursor for daily coding,direct_answer|comparison_table|faqs|who_this_is_for,"Captures high-volume pairwise comparison queries with clear developer purchase intent"
llm_engineer_salary_guide,p2,use_case,use_cases,,"LLM Engineer Salary Guide 2026: Real Pay Data from Open Roles",/salary/llm,ai salary|llm salary,how much do llm engineers make in 2026|what is generative ai engineer salary range,direct_answer|proof|faqs|how_it_works,"Proves salary authority with aggregated data that AI engines cite for compensation queries"
mcp_agent_ecosystem,p2,comparison,resources,comparisons,"Best MCP Servers and AI Agent Plugins (2026)",/agents,mcp servers|agent tools,what are the best mcp servers for ai agents|top ai agent plugins and extensions|what are openclaw plugins and how do they work|what mcp servers should i install for claude|how to set up mcp servers for claude code,direct_answer|comparison_table|faqs|proof,"Drives MCP listing revenue and positions brand as agent tooling authority"
what_is_ai_coding_agent,p2,definition,resources,learn,"What Is an AI Coding Agent?",/resources/learn/what-is-ai-coding-agent,ai coding|coding agents,what is an ai coding agent,direct_answer|how_it_works|faqs,"Captures top-of-funnel definition queries that funnel readers into comparison pages"
cline_vs_cursor,p2,comparison,resources,comparisons,"Cline vs Cursor: Open Source vs AI-Native IDE",/compare/cline-vs-cursor,cursor vs|ai coding,cline vs cursor which ai coding assistant is better,direct_answer|comparison_table|faqs|who_this_is_for,"Captures BYOK open-source vs closed IDE comparison cluster"
cursor_vs_copilot,p2,comparison,resources,comparisons,"Cursor vs GitHub Copilot for Professional Developers",/resources/compare/cursor-vs-copilot,cursor vs|ai coding,cursor vs github copilot for professional developers,direct_answer|comparison_table|faqs|proof,"Owns enterprise-adjacent Copilot comparison queries from agent hub traffic"
ai_engineer_career_path,p2,use_case,use_cases,,"How to Get Hired as an AI Engineer in 2026",/use-cases/ai-engineer-career,ai engineer|ml engineer,how to get hired as an llm engineer|what skills do i need to become an ai engineer|how to become an ai engineer without a degree,direct_answer|how_it_works|proof|faqs,"Links career solve-intent queries to live job listings and skill tag filters"
post_ai_jobs_employers,p3,trust,resources,guides,"How to Post AI Engineering Jobs: Pricing and Reach",/post-job,post ai,how much does it cost to post an ai job|where should startups post ai engineering job listings,direct_answer|proof|objections|faqs,"Converts employer search intent into $99 job posting revenue"
